mode,label,broker,port,transport,tls,topic,seq,t_pub_ns,t_recv_ns,latency_s,qos,client_id,sent_known
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,0,102298226366200,102298303804800,0.0774386,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,1,102298277051000,102298381594800,0.1045438,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,2,102298327683800,102298457083900,0.1294001,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,3,102298378393700,102298532233600,0.1538399,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,4,102298428998400,102298608494500,0.1794961,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,5,102298479693200,102298682316200,0.202623,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,6,102298530196700,102298682511300,0.1523146,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,7,102298580898700,102298758365200,0.1774665,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,8,102298631889000,102298834097100,0.2022081,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,9,102298682963700,102298910734700,0.227771,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,10,102298734106000,102298910845000,0.176739,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,11,102298784529300,102298983456500,0.1989272,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,12,102298834872600,102299056906200,0.2220336,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,13,102298885586500,102299056950900,0.1713644,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,14,102298935909200,102299131035500,0.1951263,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,15,102298986274200,102299207379200,0.221105,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,16,102299036770000,102299207446400,0.1706764,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,17,102299087232500,102299280743600,0.1935111,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,18,102299137659800,102299353952700,0.2162929,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,19,102299188251000,102299354019000,0.165768,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,20,102299239021900,102299427104100,0.1880822,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,21,102299289294500,102299500250200,0.2109557,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,22,102299339949700,102299500311300,0.1603616,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,23,102299390271700,102299573301100,0.1830294,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,24,102299440579400,102299647134000,0.2065546,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,25,102299491126800,102299647274600,0.1561478,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,26,102299541743500,102299720003400,0.1782599,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,27,102299592480100,102299794159900,0.2016798,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,28,102299643183600,102299794370900,0.1511873,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,29,102299694022700,102299870919200,0.1768965,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,30,102299744526000,102299944349500,0.1998235,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,31,102299795428500,102300017164200,0.2217357,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,32,102299846249000,102300017354600,0.1711056,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,33,102299897240300,102300090529500,0.1932892,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,34,102299948037400,102300163834800,0.2157974,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,35,102299998671500,102300164022600,0.1653511,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,36,102300049519100,102300238828200,0.1893091,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,37,102300100353900,102300314052500,0.2136986,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,38,102300151573500,102300314264400,0.1626909,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,39,102300202397600,102300391362700,0.1889651,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,40,102300253165800,102300467734500,0.2145687,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,41,102300303975000,102300467845600,0.1638706,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,42,102300354780600,102300540687800,0.1859072,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,43,102300405552100,102300614195200,0.2086431,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,44,102300456692700,102300614367300,0.1576746,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,45,102300507996200,102300688720900,0.1807247,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,46,102300558686200,102300765073200,0.206387,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,47,102300609710900,102300765247300,0.1555364,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,48,102300660520100,102300839421100,0.178901,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,49,102300710979200,102300912683800,0.2017046,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,50,102300761908800,102300912879400,0.1509706,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,51,102300812613600,102300992508000,0.1798944,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,52,102300863334500,102301067430500,0.204096,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,53,102300914287400,102301140914500,0.2266271,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,54,102300964800900,102301141116900,0.176316,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,55,102301015682500,102301214041200,0.1983587,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,56,102301066105000,102301214238900,0.1481339,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,57,102301116493000,102301287143100,0.1706501,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,58,102301167019800,102301361498000,0.1944782,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,59,102301217696100,102301439276000,0.2215799,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,60,102301268672900,102301439396100,0.1707232,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,61,102301319071900,102301515952000,0.1968801,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,62,102301369965000,102301588812700,0.2188477,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,63,102301420813100,102301588951400,0.1681383,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,64,102301471200400,102301662084800,0.1908844,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,65,102301522268000,102301735320700,0.2130527,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,66,102301572720200,102301735501600,0.1627814,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,67,102301623168200,102301808816200,0.185648,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,68,102301673739800,102301882821400,0.2090816,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,69,102301724410400,102301883009500,0.1585991,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,70,102301775248900,102301959908000,0.1846591,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,71,102301825940000,102302032909100,0.2069691,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,72,102301876565600,102302033056100,0.1564905,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,73,102301927189800,102302106063400,0.1788736,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,74,102301977799100,102302179072300,0.2012732,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,75,102302028978800,102302179150000,0.1501712,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,76,102302079554900,102302253417100,0.1738622,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,77,102302130407500,102302327082400,0.1966749,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,78,102302181104500,102302403361100,0.2222566,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,79,102302231614600,102302403528400,0.1719138,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,80,102302282160900,102302478785000,0.1966241,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,81,102302332588100,102302554921400,0.2223333,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,82,102302383111500,102302555081800,0.1719703,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,83,102302433982300,102302631240600,0.1972583,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,84,102302484640000,102302704654600,0.2200146,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,85,102302535402700,102302704803500,0.1694008,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,86,102302586364000,102302780191000,0.193827,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,87,102302637035400,102302854524500,0.2174891,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,88,102302687862100,102302854723900,0.1668618,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,89,102302738524500,102302930447200,0.1919227,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,90,102302789402900,102303006232900,0.21683,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,91,102302840365300,102303006373100,0.1660078,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,92,102302891148100,102303082100500,0.1909524,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,93,102302941942000,102303156895500,0.2149535,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,94,102302992615500,102303157085500,0.16447,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,95,102303043292600,102303233035100,0.1897425,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,96,102303094090400,102303308090600,0.2140002,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,97,102303144872200,102303308122800,0.1632506,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,98,102303195780200,102303383805200,0.188025,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,99,102303246430200,102303456863800,0.2104336,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,100,102303297429800,102303456995300,0.1595655,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,101,102303348097900,102303530259000,0.1821611,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,102,102303398751100,102303603444300,0.2046932,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,103,102303449258300,102303603644800,0.1543865,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,104,102303500178900,102303676491400,0.1763125,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,105,102303550979700,102303749614300,0.1986346,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,106,102303601637700,102303749766100,0.1481284,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,107,102303652349800,102303824950400,0.1726006,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,108,102303703130700,102303900913600,0.1977829,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,109,102303753606800,102303973903800,0.220297,0,latency-mqtts8883-3b290931,True
