mode,label,broker,port,transport,tls,topic,seq,t_pub_ns,t_recv_ns,latency_s,qos,client_id,sent_known
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,0,101517289196300,101517363750000,0.0745537,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,1,101517339493500,101517441518800,0.1020253,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,2,101517390258000,101517518660200,0.1284022,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,3,101517440980000,101517600094500,0.1591145,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,4,101517491707100,101517600211700,0.1085046,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,5,101517542281700,101517677762000,0.1354803,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,6,101517593003700,101517677817600,0.0848139,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,7,101517643792700,101517755535800,0.1117431,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,8,101517694514600,101517833366800,0.1388522,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,9,101517745029400,101517833450000,0.0884206,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,10,101517795398000,101517943842400,0.1484444,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,11,101517845894000,101518043850500,0.1979565,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,12,101517896270700,101518044013800,0.1477431,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,13,101517946810300,101518121656100,0.1748458,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,14,101517997206700,101518121730500,0.1245238,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,15,101518048057000,101518199294100,0.1512371,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,16,101518098529300,101518199409100,0.1008798,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,17,101518149399400,101518276780700,0.1273813,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,18,101518199937300,101518355298500,0.1553612,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,19,101518250398100,101518355477700,0.1050796,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,20,101518301283900,101518431291900,0.130008,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,21,101518352034000,101518431488900,0.0794549,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,22,101518402721000,101518506799600,0.1040786,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,23,101518453767800,101518580851400,0.1270836,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,24,101518504516600,101518581080500,0.0765639,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,25,101518555304500,101518658888400,0.1035839,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,26,101518606215400,101518736673000,0.1304576,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,27,101518657142500,101518736885500,0.079743,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,28,101518708405100,101518814100900,0.1056958,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,29,101518759454800,101518892129900,0.1326751,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,30,101518810340000,101518892256200,0.0819162,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,31,101518861374700,101518969650800,0.1082761,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,32,101518912093100,101519051327200,0.1392341,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,33,101518963278600,101519051382000,0.0881034,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,34,101519014023000,101519129844600,0.1158216,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,35,101519064586200,101519208519300,0.1439331,0,latency-wss443-3d6ed7b5,True
